"filename", "language", "Markdown", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Code\omni-chat\server\src\routes\api\account.ts", "TypeScript", 0, 91, 0, 0, 0, 17, 108
"c:\Code\omni-chat\server\src\routes\api\ai-settings.ts", "TypeScript", 0, 27, 0, 0, 0, 2, 29
"c:\Code\omni-chat\server\src\routes\api\auth.ts", "TypeScript", 0, 294, 0, 0, 0, 69, 363
"c:\Code\omni-chat\server\src\routes\api\automations.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"c:\Code\omni-chat\server\src\routes\api\canned-replies.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 11
"c:\Code\omni-chat\server\src\routes\api\channels.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 3
"c:\Code\omni-chat\server\src\routes\api\knowledge.ts", "TypeScript", 0, 6, 0, 0, 0, -1, 5
"c:\Code\omni-chat\server\src\routes\api\media-assets.ts", "TypeScript", 0, -8, 0, 0, 0, -1, -9
"c:\Code\omni-chat\server\src\routes\api\portal.ts", "TypeScript", 0, 782, 0, 0, 0, 86, 868
"c:\Code\omni-chat\server\src\routes\api\stickers.ts", "TypeScript", 0, 133, 0, 0, 0, 12, 145
"c:\Code\omni-chat\server\src\routes\api\workspace-members.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 17
"c:\Code\omni-chat\server\src\routes\api\workspace-profile.ts", "TypeScript", 0, 142, 0, 0, 0, 18, 160
"c:\Code\omni-chat\server\src\routes\public\google-oauth.ts", "TypeScript", 0, 101, 0, 0, 0, 6, 107
"c:\Code\omni-chat\server\src\routes\public\media-assets.ts", "TypeScript", 0, 19, 0, 0, 0, 5, 24
"c:\Code\omni-chat\server\src\routes\public\workspace-public.ts", "TypeScript", 0, 163, 0, 0, 0, 25, 188
"c:\Code\omni-chat\server\src\server.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2
"c:\Code\omni-chat\server\src\services\automation.service.ts", "TypeScript", 0, 26, 0, 0, 0, 2, 28
"c:\Code\omni-chat\server\src\services\billing.service.ts", "TypeScript", 0, 1757, 0, 0, 0, 195, 1952
"c:\Code\omni-chat\server\src\services\canned-reply.service.ts", "TypeScript", 0, 42, 0, 0, 0, 6, 48
"c:\Code\omni-chat\server\src\services\channel-connection.service.ts", "TypeScript", 0, 16, 0, 0, 0, 2, 18
"c:\Code\omni-chat\server\src\services\fixture-sticker-catalog.provider.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2
"c:\Code\omni-chat\server\src\services\google-auth.service.ts", "TypeScript", 0, 138, 0, 0, 0, 24, 162
"c:\Code\omni-chat\server\src\services\knowledge.service.ts", "TypeScript", 0, 22, 0, 0, 0, 3, 25
"c:\Code\omni-chat\server\src\services\media-asset-token.service.ts", "TypeScript", 0, 35, 0, 0, 0, 6, 41
"c:\Code\omni-chat\server\src\services\media-asset.service.ts", "TypeScript", 0, 54, 0, 0, 0, 13, 67
"c:\Code\omni-chat\server\src\services\message.service.ts", "TypeScript", 0, 23, 0, 0, 0, 5, 28
"c:\Code\omni-chat\server\src\services\outbound-content.types.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2
"c:\Code\omni-chat\server\src\services\outbound-content.utils.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 9
"c:\Code\omni-chat\server\src\services\outbound-message.service.ts", "TypeScript", 0, 28, 0, 0, 0, 6, 34
"c:\Code\omni-chat\server\src\services\role-model-migration.service.ts", "TypeScript", 0, 73, 0, 0, 0, 6, 79
"c:\Code\omni-chat\server\src\services\sticker-catalog.service.ts", "TypeScript", 0, 76, 0, 0, -2, 2, 76
"c:\Code\omni-chat\server\src\services\sticker-catalog.types.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 15
"c:\Code\omni-chat\server\src\services\telegram-sticker-preview.service.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2
"c:\Code\omni-chat\server\src\services\workspace-sticker-catalog.provider.ts", "TypeScript", 0, 11, 0, 0, 0, 2, 13
"c:\Code\omni-chat\server\src\services\workspace-sticker.service.ts", "TypeScript", 0, 267, 0, 0, 0, 33, 300
"Total", "-", 47, 6061, 6321, -4, 2, 1283, 13710
