Date : 2026-03-25 17:51:51
Directory : c:\Code\omni-chat
Total : 174 files,  38279 codes, 87 comments, 3692 blanks, all 42058 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Code\omni-chat\server\src\services\telegram-sticker-preview.service.ts  | TypeScript         |        262 |          0 |         35 |        297 |
| c:\Code\omni-chat\server\src\services\tiktok-business-messaging.service.ts | TypeScript         |        671 |          0 |         96 |        767 |
| c:\Code\omni-chat\server\src\services\tiktok-media-token.service.ts        | TypeScript         |         47 |          0 |          6 |         53 |
| c:\Code\omni-chat\server\src\services\tiktok-shop-auth.service.ts          | TypeScript         |        131 |          0 |         25 |        156 |
| c:\Code\omni-chat\server\src\services\workspace-invite.service.ts          | TypeScript         |         24 |          0 |          8 |         32 |
| c:\Code\omni-chat\server\src\tests\attention-item.service.test.ts          | TypeScript         |        597 |          0 |         62 |        659 |
| c:\Code\omni-chat\server\src\types\auth.ts                                 | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Code\omni-chat\server\src\types\express-auth.ts                         | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Code\omni-chat\server\tsconfig.json                                     | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                      |                    |     38,279 |         87 |      3,692 |     42,058 |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
